,currency,year,date,title,score,emotion
0,比特幣,2021,Jun  9,[新聞] 抄底了！微策略將發債110億元買進比特幣,11,positive
1,比特幣,2021,Jun  9,[新聞] 薩爾瓦多國會已通過「比特幣成法定貨幣」,19,positive
2,比特幣,2021,Jun  9,[新聞] 陷資安疑慮 比特幣暴跌,-22,negative
3,比特幣,2021,Jun  8,[新聞] 年輕人想用比特幣擺脫貧富差距　陳冲示,2,neutral
4,比特幣,2021,Jun  8,[新聞] 英國 Ruffer 基金出清比特幣！已為客戶大,15,positive
5,比特幣,2021,Jun  7,[新聞] 不只比特幣！Nvidia RTX 3080Ti 挖礦限,0,neutral
6,比特幣,2021,Jun  6,[新聞] MIT比特幣實驗報酬率高達13000％ 當年曾,17,positive
7,比特幣,2021,Jun  6,[新聞] 薩爾瓦多將宣佈比特幣具法定清償地位,4,positive
8,比特幣,2021,May 30,比特幣將迎血腥周末恐跌破2萬美元,-8,negative
9,比特幣,2021,May 29,[新聞] 摩根大通 CEO 戴蒙：仍建議遠離比特幣,14,positive
10,比特幣,2021,May 29,[新聞] 筆電存1萬顆比特幣「被媽扔掉」 苦主損,0,neutral
11,比特幣,2021,May 27,[閒聊] 加密貨幣行情閒聊區-血比特？,3,neutral
12,比特幣,2021,May 26,[閒聊] 第四大巨鯨增加988枚比特幣,2,neutral
13,比特幣,2021,May 25,[新聞] 加密貨幣已成泡沫！末日博士：比特幣既非,5,positive
14,比特幣,2021,May 24,[新聞] 跌勢不斷！比特幣從今年高點崩落近50％,-5,negative
15,比特幣,2021,May 21,[新聞] 諾獎得主克魯曼：比特幣死不了 有太多邪,10,positive
16,比特幣,2021,May 20,[新聞] 買比特幣是賭博！末日博士開砲：投資這,4,positive
17,比特幣,2021,May 19,[新聞] 諾貝爾得主開酸：比特幣支持者是貨幣蟑,1,neutral
18,比特幣,2021,May 18,[閒聊] 新手關於比特幣做空的疑問,1,neutral
19,比特幣,2021,May 17,[閒聊] 馬投顧突然又看好比特幣的機率有多高,3,neutral
20,比特幣,2021,May 17,[閒聊] 比特幣 VS 狗狗幣,0,neutral
21,比特幣,2021,May 17,[新聞] 馬斯克暗示特斯拉恐「拋比特幣資產」,-4,negative
22,比特幣,2021,May 17,[Coin] 比特幣挖礦沒去中心化，有解嗎？,0,neutral
23,比特幣,2021,May 17,以太坊取代比特幣,1,neutral
24,比特幣,2021,May 13,[閒聊] 比特幣的地址格式都互通嗎?,2,neutral
25,比特幣,2021,May 12,[新聞] 比特幣毫無用處！末日博士警告：加密貨,-4,negative
26,比特幣,2021,May 11,[閒聊] 請問比特幣小額交易,2,neutral
27,比特幣,2021,May 10,[閒聊] 比特幣放長期有搞頭嗎?,4,positive
28,比特幣,2021,May  8,[閒聊] 比特幣算贏過當年鬱金香熱吧?,-1,neutral
29,比特幣,2021,May  6,[新聞] 專家大膽預測：比特幣5年內觸及100萬美元,15,positive
30,比特幣,2021,May  2,[新聞] 比特幣令人作嘔！ 巴菲特副手開砲：與人,1,neutral
31,比特幣,2021,Apr 28,[新聞] 中國疑暗中扶植比特幣搞垮美元,-2,negative
32,比特幣,2021,Apr 28,[新聞] 又一公司買比特幣:Nexon買了1717枚!,7,positive
33,比特幣,2021,Apr 27,[新聞] 割韭菜？特斯拉高點賣比特幣　馬斯克稱「,14,positive
34,比特幣,2021,Apr 27,Re: [新聞] 黑天鵝作者：比特幣是公然龐氏騙局,13,positive
35,比特幣,2021,Apr 26,Re: [新聞] 投資比特幣商品 課稅大不同,3,neutral
36,比特幣,2021,Apr 26,Re: [新聞] 投資比特幣商品 課稅大不同,10,positive
37,比特幣,2021,Apr 26,[新聞] 投資比特幣商品 課稅大不同,7,positive
38,比特幣,2021,Apr 25,[新聞] 黑天鵝作者：比特幣是公然龐氏騙局,-2,negative
39,比特幣,2021,Apr 24,[新聞] 方舟投資稱比特幣挖礦「有利世界」,14,positive
40,比特幣,2021,Apr 24,[閒聊] 本版持有100顆比特幣的人多嗎?,6,positive
41,比特幣,2021,Apr 23,[支付] 第一槍!比特幣可以買房了,0,neutral
42,比特幣,2021,Apr 23,[閒聊] 比特幣崩盤？？,-2,negative
43,比特幣,2021,Apr 19,[新聞] 「比特幣、穩定幣是投資工具！」中國央行：正研究監管措施,21,very positive
44,比特幣,2021,Apr 18,[新聞] 比特幣突上演大屠殺 15分鐘內暴跌8000美,-9,negative
45,比特幣,2021,Apr 15,[新聞] 買比特幣只是為了上漲！鮑爾：加密貨幣是,6,positive
46,比特幣,2021,Apr 13,[新聞] 十年前「比特幣水龍頭」網站，一天送5BTC,25,very positive
47,比特幣,2021,Apr 12,[新聞] 比特幣大漲！桃檢警破獲比特幣挖礦場 隔,4,positive
48,比特幣,2021,Apr 12,[新聞] 馬斯克效應延燒！3C品牌跨界賣咖啡 開幕送比特幣湧人潮,11,positive
49,比特幣,2021,Apr 10,[新聞] PayPal創辦人：比特幣可能成為中國對付,-4,negative
50,比特幣,2021,Apr  8,[新聞] 比特幣瘋漲 超商代收翻倍增,21,very positive
51,比特幣,2021,Apr  6,"[新聞] 韓國交易所 Bithumb 比特幣「飆破69,000",5,positive
52,比特幣,2021,Apr  1,Fw: [么吉] 天線寶寶官方推特預告本周將有比特幣大事！,-2,negative
53,比特幣,2021,Mar 29,請問關於比特幣高手,1,neutral
54,比特幣,2021,Mar 29,[閒聊] 雙品香酥豬排開放比特幣現金支付,2,neutral
55,比特幣,2021,Mar 28,[新聞] 彭博分析師：今年比特幣可能漲至40萬美元,20,very positive
56,比特幣,2021,Mar 27,[新聞] 比特幣恐完蛋？達里歐：很可能被各國宣,-6,negative
57,比特幣,2021,Mar 26,[新聞] 退休翁聽信「發大財」 要匯300萬投資比特,0,neutral
58,比特幣,2021,Mar 25,[新聞] 特斯拉開放比特幣購車 投行：為加密貨幣,7,positive
59,比特幣,2021,Mar 23,"[新聞] 比特幣大跌至53,650！聯準會主席: 比特",17,positive
60,比特幣,2021,Mar 22,[新聞] 俄羅斯挖礦發大財：占全球7%比特幣算力，,16,positive
61,比特幣,2021,Mar 21,[新聞] 末日博士再轟比特幣：它的內在價值是0,18,positive
62,比特幣,2021,Mar 19,[新聞] Visa執行長：我們打算接受比特幣！讓七千,25,very positive
63,比特幣,2021,Mar 17,[新聞] 對比特幣改觀！華爾街大老：黃金、鑽石也,13,positive
64,比特幣,2021,Mar 16,[新聞] 7年前賣房ALL IN比特幣！他狂賺100倍登,15,positive
65,比特幣,2021,Mar 15,[閒聊] 地院判決返還比特幣5.83475753顆,-30,negative
66,比特幣,2021,Mar 13,[新聞] 兒子賭上身家全押比特幣　黃金貿易董事,5,positive
67,比特幣,2021,Mar 12,Re: [新聞] 楊金龍：央行不買比特幣 這是投機性商品,21,very positive
68,比特幣,2021,Mar 11,[新聞] 楊金龍：央行不買比特幣 這是投機性商品,12,positive
69,比特幣,2021,Mar  7,[新聞] 超商買比特幣模式獨步全球 台灣商業創意,24,very positive
70,比特幣,2021,Mar  6,[新聞] 比特幣交易若有賺錢 會計師提醒：恐要課,13,positive
71,比特幣,2021,Mar  3,[新聞] 比特幣暴漲暴跌！央行示警：比特幣高風險,1,neutral
72,比特幣,2021,Mar  1,[新聞] 比特幣今年狂漲 創造10萬名百萬美元富翁,16,positive
73,比特幣,2021,Feb 28,[新聞] 日本樂天 | 支援「比特幣 ETH BCH」充值,16,positive
74,比特幣,2021,Feb 28,[閒聊] 少量比特幣礦工費問題,2,neutral
75,比特幣,2021,Feb 26,[閒聊] 近期比特幣暴跌原因的看法,9,positive
76,比特幣,2021,Feb 26,[新聞] 灰度｜比特幣溢價首次變「負數」！,13,positive
77,比特幣,2021,Feb 24,[新聞] 比特幣暴跌是買進好機會？女股神：樂見,15,positive
78,比特幣,2021,Feb 24,[閒聊] 葉倫：比特幣無效率又投機,-5,negative
79,比特幣,2021,Feb 23,[新聞] 「白癡散戶」將血本無歸！末日博士：比特,-1,neutral
80,比特幣,2021,Feb 22,[閒聊] mitrade買比特幣安全嗎？,2,neutral
